article_id,url,title,section,in_training,word_count,dominant_topic,dominant_topic_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob,topic_10_prob,topic_11_prob,topic_12_prob,topic_13_prob,topic_14_prob
society/2018/oct/09/mental-health-patients-waiting-nhs-treatment-delays,https://www.theguardian.com/society/2018/oct/09/mental-health-patients-waiting-nhs-treatment-delays,Delays in NHS mental health treatment 'ruining lives',Society,no,1194,3,0.9989,0.0001,0.0001,0.0001,0.9989,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
politics/2018/jun/17/europeans-caring-for-british-relatives-fear-brexit-expulsion-settled-status-delay-home-office,https://www.theguardian.com/politics/2018/jun/17/europeans-caring-for-british-relatives-fear-brexit-expulsion-settled-status-delay-home-office,EU nationals fear Brexit will tear carers from their families,Politics,no,1522,4,0.3539,0.1638,0.0,0.0001,0.1636,0.3539,0.0001,0.1502,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1679
education/2018/oct/12/my-university-forced-me-into-teaching-training-it-was-all-dry-eduspeak,https://www.theguardian.com/education/2018/oct/12/my-university-forced-me-into-teaching-training-it-was-all-dry-eduspeak,My university forced me into teaching training. It was all dry 'eduspeak' | Anonymous academic,Education,no,552,3,0.8412,0.0001,0.0001,0.0528,0.8412,0.0001,0.0001,0.0699,0.0346,0.0002,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001
global-development/2018/jun/27/weapons-costing-lives-in-deadly-wars-abroad-are-also-costing-jobs-at-home,https://www.theguardian.com/global-development/2018/jun/27/weapons-costing-lives-in-deadly-wars-abroad-are-also-costing-jobs-at-home,The arms trade needs moral balance – lives and livelihoods depend on it | Rod Austin,Global development,no,856,11,0.3483,0.0001,0.0001,0.0001,0.0002,0.1362,0.263,0.2514,0.0001,0.0001,0.0001,0.0001,0.3483,0.0001,0.0001,0.0001
science/political-science/2018/jul/12/its-time-to-burst-the-biomedical-bubble-in-uk-research,https://www.theguardian.com/science/political-science/2018/jul/12/its-time-to-burst-the-biomedical-bubble-in-uk-research,It’s time to burst the biomedical bubble in UK research,Science,no,1186,0,0.3134,0.3134,0.0,0.0001,0.1529,0.0001,0.0001,0.0689,0.0001,0.0001,0.2067,0.0001,0.2574,0.0001,0.0001,0.0001
global-development/2019/may/17/reef-wipeout-three-surfers-fight-china-linked-mega-resort-in-fiji,https://www.theguardian.com/global-development/2019/may/17/reef-wipeout-three-surfers-fight-china-linked-mega-resort-in-fiji,Reef wipeout: surfers fight China-linked mega resort in Fiji,Global development,no,1540,5,0.2979,0.0001,0.0,0.0387,0.0001,0.2331,0.2979,0.0001,0.0001,0.1242,0.0001,0.1246,0.1809,0.0,0.0001,0.0001
education/2018/mar/31/schools-funding-crisis-swing-election-teachers-union-conference-neu-nasuwt,https://www.theguardian.com/education/2018/mar/31/schools-funding-crisis-swing-election-teachers-union-conference-neu-nasuwt,"Schools funding crisis could swing election, union conference told",Education,no,836,6,0.659,0.0001,0.0001,0.0001,0.3397,0.0001,0.0001,0.659,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
public-leaders-network/2016/jul/26/public-service-failures-doncaster-rotherham-mid-staffs,https://www.theguardian.com/public-leaders-network/2016/jul/26/public-service-failures-doncaster-rotherham-mid-staffs,Has government learned the vital lessons of public service failures?,Public Leaders Network,no,551,3,0.6206,0.0001,0.0001,0.0001,0.6206,0.0001,0.0001,0.0475,0.0001,0.2054,0.0002,0.0001,0.0002,0.0001,0.0002,0.1249
australia-news/2018/jul/25/guards-to-be-trained-in-asphyxiation-risks-after-david-dungay-death-in-custody,https://www.theguardian.com/australia-news/2018/jul/25/guards-to-be-trained-in-asphyxiation-risks-after-david-dungay-death-in-custody,Guards to receive urgent training in asphyxiation risks after David Dungay death in custody,Australia news,no,577,13,0.6222,0.0001,0.0001,0.1779,0.0828,0.0001,0.0001,0.0003,0.0001,0.0002,0.1155,0.0001,0.0002,0.0001,0.6222,0.0001
world/2018/jun/20/coalition-launches-inquiry-into-sexual-harassment-over-metoo-revelations,https://www.theguardian.com/world/2018/jun/20/coalition-launches-inquiry-into-sexual-harassment-over-metoo-revelations,Coalition launches inquiry into sexual harassment over #MeToo revelations,World news,no,435,8,0.4388,0.0002,0.0001,0.0944,0.1198,0.0002,0.0001,0.0003,0.0001,0.4388,0.0002,0.0002,0.0343,0.0001,0.3109,0.0001
society/2019/may/02/end-to-aids-in-sight-as-huge-study-finds-drugs-stop-hiv-transmission,https://www.theguardian.com/society/2019/may/02/end-to-aids-in-sight-as-huge-study-finds-drugs-stop-hiv-transmission,End to Aids in sight as huge study finds drugs stop HIV transmission,Society,no,1182,9,0.3808,0.1673,0.0001,0.0001,0.0937,0.0001,0.0001,0.0001,0.0001,0.0001,0.3808,0.0001,0.0001,0.3573,0.0001,0.0001
uk-news/2018/jul/03/suspected-slavery-victims-traumatised-by-home-office-delays,https://www.theguardian.com/uk-news/2018/jul/03/suspected-slavery-victims-traumatised-by-home-office-delays,Suspected slavery victims traumatised by Home Office delays,UK news,no,985,5,0.4807,0.0001,0.0001,0.0001,0.0624,0.0286,0.4807,0.0002,0.0001,0.0001,0.0001,0.1188,0.0001,0.0001,0.2544,0.0543
business/2017/aug/03/government-loan-to-adani-could-be-tainted-by-interference-economists-say,https://www.theguardian.com/business/2017/aug/03/government-loan-to-adani-could-be-tainted-by-interference-economists-say,"Government loan to Adani could be tainted by interference, economists say",Business,no,1010,8,0.7337,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.047,0.0001,0.7337,0.0001,0.0001,0.2183,0.0001,0.0001,0.0001
world/2018/jun/01/chinese-interference-in-new-zealand-at-critical-stage-says-canada-spy-report,https://www.theguardian.com/world/2018/jun/01/chinese-interference-in-new-zealand-at-critical-stage-says-canada-spy-report,"Chinese interference in New Zealand at 'critical' stage, says Canada spy report",World news,no,685,5,0.3989,0.0001,0.0001,0.0001,0.0002,0.0001,0.3989,0.1251,0.0001,0.2242,0.0001,0.0001,0.2506,0.0001,0.0001,0.0001
education/2018/may/08/english-education-wild-west-1988-reform-act-schools,https://www.theguardian.com/education/2018/may/08/english-education-wild-west-1988-reform-act-schools,"After 30 years of ‘go compare’, English education is a wild west | Fiona Millar",Education,no,1156,3,0.5052,0.0001,0.0,0.0001,0.5052,0.139,0.0001,0.3102,0.0001,0.0137,0.0001,0.0001,0.0312,0.0001,0.0001,0.0001
australia-news/2018/may/12/turnbull-shorten-and-the-quest-for-the-winning-message,https://www.theguardian.com/australia-news/2018/may/12/turnbull-shorten-and-the-quest-for-the-winning-message,"Turnbull, Shorten and the quest for the winning message | Katharine Murphy",Australia news,no,1298,6,0.7773,0.0001,0.0,0.1886,0.0001,0.0001,0.0001,0.7773,0.0001,0.0001,0.0001,0.0332,0.0001,0.0001,0.0001,0.0001
world/2018/sep/19/italian-womens-groups-fear-law-change-will-hurt-domestic-violence-victims,https://www.theguardian.com/world/2018/sep/19/italian-womens-groups-fear-law-change-will-hurt-domestic-violence-victims,Italian women's groups fear law change will hurt domestic violence victims,World news,no,987,13,0.6577,0.0699,0.0211,0.0515,0.0002,0.1908,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.6577,0.0082
world/2017/jul/06/neo-nazi-gerhard-lauck-nebraska-antisemitism,https://www.theguardian.com/world/2017/jul/06/neo-nazi-gerhard-lauck-nebraska-antisemitism,The Farm Belt führer: the making of a neo-Nazi,World news,no,3714,5,0.3517,0.2606,0.0479,0.1028,0.0,0.1253,0.3517,0.0,0.0575,0.0,0.0317,0.0224,0.0,0.0,0.0,0.0
global-development/2018/feb/12/foreign-aid-less-effective-than-expected-at-curbing-migration-study-says,https://www.theguardian.com/global-development/2018/feb/12/foreign-aid-less-effective-than-expected-at-curbing-migration-study-says,"Foreign aid 'less effective than expected' at curbing migration, study says",Global development,no,615,11,0.3515,0.321,0.0001,0.0001,0.1212,0.0001,0.0001,0.2052,0.0001,0.0001,0.0001,0.0001,0.3515,0.0001,0.0002,0.0001
society/2024/sep/13/citizens-jury-backs-assisted-dying-terminally-ill-england,https://www.theguardian.com/society/2024/sep/13/citizens-jury-backs-assisted-dying-terminally-ill-england,Citizens’ jury in England backs assisted dying for terminally ill,Society,yes,688,13,0.6726,0.0001,0.0001,0.0001,0.1261,0.0001,0.0001,0.1197,0.0001,0.0001,0.0805,0.0001,0.0001,0.0001,0.6726,0.0001
technology/2025/jan/07/uk-government-ai-military-drones-faculty-ai-artificial-intelligence,https://www.theguardian.com/technology/2025/jan/07/uk-government-ai-military-drones-faculty-ai-artificial-intelligence,British AI startup with government ties is developing tech for military drones,Technology,no,1105,11,0.3942,0.052,0.0001,0.0001,0.0288,0.0001,0.1502,0.0001,0.0001,0.1758,0.0001,0.0001,0.3942,0.0341,0.1152,0.0492
business/2025/aug/19/scrapping-of-audit-commission-england-councils-soaring-costs-chaos-report,https://www.theguardian.com/business/2025/aug/19/scrapping-of-audit-commission-england-councils-soaring-costs-chaos-report,Scrapping of audit watchdog for English councils ‘led to soaring costs and chaos’,Business,no,718,6,0.3799,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.3799,0.0001,0.1683,0.0001,0.1184,0.0001,0.0001,0.0001,0.3322
world/2025/may/08/amsterdam-sound-of-children-playing-not-a-valid-reason-for-complaint-say-experts,https://www.theguardian.com/world/2025/may/08/amsterdam-sound-of-children-playing-not-a-valid-reason-for-complaint-say-experts,"Amsterdam: sound of children playing not a valid reason for complaint, say experts",World news,no,347,10,0.457,0.1306,0.0002,0.0002,0.3128,0.0002,0.0002,0.0972,0.0002,0.0002,0.0003,0.457,0.0002,0.0002,0.0003,0.0002
society/2025/jun/04/physician-associates-to-be-renamed-to-stop-them-being-mistaken-for-doctors,https://www.theguardian.com/society/2025/jun/04/physician-associates-to-be-renamed-to-stop-them-being-mistaken-for-doctors,Physician associates to be renamed to stop them being mistaken for doctors,Society,no,685,9,0.5043,0.0001,0.0001,0.0001,0.286,0.0001,0.0001,0.0002,0.0001,0.1179,0.5043,0.0001,0.0001,0.0001,0.0905,0.0001
australia-news/2025/jun/23/closing-the-gap-governments-leave-heavy-lifting-to-underresourced-aboriginal-groups-review-finds,https://www.theguardian.com/australia-news/2025/jun/23/closing-the-gap-governments-leave-heavy-lifting-to-underresourced-aboriginal-groups-review-finds,"Governments are leaving ‘heavy lifting’ on Closing the Gap to underresourced Aboriginal groups, review finds",Australia news,no,673,7,0.2574,0.0001,0.0001,0.0001,0.0715,0.0001,0.0001,0.0002,0.2574,0.2464,0.0002,0.0001,0.1291,0.0538,0.2406,0.0001
politics/2025/jun/30/uk-government-agency-not-accepting-evisas-as-id-from-job-applicants,https://www.theguardian.com/politics/2025/jun/30/uk-government-agency-not-accepting-evisas-as-id-from-job-applicants,UK government agency not accepting eVisas as ID from job applicants,Politics,no,498,14,0.5215,0.0002,0.0001,0.0002,0.0003,0.476,0.0001,0.0003,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.5215
australia-news/2025/jun/05/queenslands-puberty-blockers-review-panel-criticised-for-lacking-gender-experts-and-trans-lived-experience,https://www.theguardian.com/australia-news/2025/jun/05/queenslands-puberty-blockers-review-panel-criticised-for-lacking-gender-experts-and-trans-lived-experience,Queensland’s puberty blockers review panel criticised for lacking gender experts and trans lived experience,Australia news,no,506,8,0.2773,0.0001,0.0001,0.0001,0.2723,0.0001,0.1782,0.0003,0.0001,0.2773,0.1075,0.0001,0.0002,0.0001,0.1633,0.0001
society/2025/jun/23/wes-streeting-announces-investigation-into-nhs-maternity-services,https://www.theguardian.com/society/2025/jun/23/wes-streeting-announces-investigation-into-nhs-maternity-services,Wes Streeting announces investigation into ‘failing’ NHS maternity services,Society,no,683,1,0.3096,0.0001,0.3096,0.0001,0.2847,0.0001,0.0001,0.0002,0.0001,0.0001,0.0354,0.0001,0.0001,0.0001,0.2774,0.0917
australia-news/2025/mar/12/lnp-denies-using-cover-of-tropical-cyclone-alfred-to-scrap-independent-review-of-mining-lease-objections-ntwnfb,https://www.theguardian.com/australia-news/2025/mar/12/lnp-denies-using-cover-of-tropical-cyclone-alfred-to-scrap-independent-review-of-mining-lease-objections-ntwnfb,LNP denies using ‘cover’ of Tropical Cyclone Alfred to scrap independent review of mining lease objections,Australia news,no,621,8,0.668,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.668,0.0001,0.0001,0.1606,0.0001,0.1699,0.0001
education/2025/apr/30/gmc-approves-36-courses-to-teach-more-than-1000-nhs-physician-associates,https://www.theguardian.com/education/2025/apr/30/gmc-approves-36-courses-to-teach-more-than-1000-nhs-physician-associates,"GMC approves 36 courses to teach more than 1,000 NHS physician associates",Education,no,649,3,0.4048,0.0085,0.0001,0.0001,0.4048,0.0001,0.0001,0.0003,0.0001,0.1586,0.385,0.0001,0.0001,0.0001,0.0418,0.0001
uk-news/2024/apr/03/councils-demand-independent-review-of-arbitrary-levelling-up-schemes,https://www.theguardian.com/uk-news/2024/apr/03/councils-demand-independent-review-of-arbitrary-levelling-up-schemes,Councils demand independent review of ‘arbitrary’ levelling up schemes,UK news,no,859,6,0.3194,0.0765,0.0001,0.0001,0.2344,0.0001,0.0001,0.3194,0.0001,0.0001,0.0001,0.0295,0.1308,0.0001,0.0001,0.2086
australia-news/2025/may/21/sydney-trains-delays-fare-free-day-train-power-outage-nsw-transport,https://www.theguardian.com/australia-news/2025/may/21/sydney-trains-delays-fare-free-day-train-power-outage-nsw-transport,Sydney trains delays: Minns warns commuters to brace for long waits as city battles second evening of disruptions,Australia news,no,551,8,0.5835,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.135,0.0001,0.5835,0.0002,0.2799,0.0001,0.0001,0.0002,0.0001
us-news/2025/jun/27/supreme-court-ruling-obamacare-rfk-science,https://www.theguardian.com/us-news/2025/jun/27/supreme-court-ruling-obamacare-rfk-science,US supreme court ruling sets stage for more politicized science under RFK Jr,US news,no,767,12,0.5518,0.0001,0.1526,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.171,0.0592,0.0001,0.0001,0.5518,0.0642,0.0001
society/2025/feb/05/uk-childhood-mental-health-crisis-to-cost-1tn-in-lost-pay-study-finds,https://www.theguardian.com/society/2025/feb/05/uk-childhood-mental-health-crisis-to-cost-1tn-in-lost-pay-study-finds,"UK childhood mental health crisis to cost £1.1tn in lost pay, study finds",Society,no,837,3,0.9701,0.0001,0.0001,0.0001,0.9701,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0287
australia-news/2025/mar/25/traditional-owners-accuse-nt-government-of-treating-them-like-children-in-meeting-on-sacred-site-act-reform-ntwnfb,https://www.theguardian.com/australia-news/2025/mar/25/traditional-owners-accuse-nt-government-of-treating-them-like-children-in-meeting-on-sacred-site-act-reform-ntwnfb,Traditional owners accuse NT government of ‘treating them like children’ in meeting on sacred site act reform,Australia news,no,664,11,0.3077,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.2362,0.0002,0.0001,0.3077,0.1607,0.2939,0.0001
us-news/2025/apr/26/rfk-jr-chronic-disease-covid,https://www.theguardian.com/us-news/2025/apr/26/rfk-jr-chronic-disease-covid,How ‘revenge of the Covid contrarians’ unleashed by RFK Jr puts broader vaccine advances at risk,US news,no,1333,12,0.8302,0.0001,0.0924,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0766,0.0001,0.0,0.0001,0.8302,0.0001,0.0
australia-news/2025/feb/20/victoria-public-service-job-cuts-jacinta-allan-independent-review,https://www.theguardian.com/australia-news/2025/feb/20/victoria-public-service-job-cuts-jacinta-allan-independent-review,Victoria to axe thousands of public service jobs as treasurer warns of ‘difficult decisions’,Australia news,no,601,8,0.7578,0.0001,0.0348,0.0001,0.096,0.0001,0.0001,0.1099,0.0001,0.7578,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001
education/2025/jul/03/schools-england-complex-changes-special-needs-pupils-review-says,https://www.theguardian.com/education/2025/jul/03/schools-england-complex-changes-special-needs-pupils-review-says,Schools in England ‘need complex changes’ to take more pupils with special needs,Education,no,543,3,0.8134,0.0001,0.0001,0.0001,0.8134,0.0001,0.0001,0.1848,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001
australia-news/2025/feb/03/peter-dutton-abdul-nacer-benbrika-case-home-affairs-cleared-ntwnfb,https://www.theguardian.com/australia-news/2025/feb/03/peter-dutton-abdul-nacer-benbrika-case-home-affairs-cleared-ntwnfb,Peter Dutton and home affairs department cleared of wrongdoing in case involving Melbourne terrorist,Australia news,no,548,8,0.6847,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.0003,0.0001,0.6847,0.0002,0.0001,0.0002,0.0001,0.3134,0.0001
australia-news/2024/oct/29/labor-invasive-fire-ant-species-government-response,https://www.theguardian.com/australia-news/2024/oct/29/labor-invasive-fire-ant-species-government-response,"Labor has ‘pressed pause’ in fight to contain spread of fire ants, invasive species council says",Australia news,no,707,14,0.4588,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.3714,0.0001,0.0001,0.1683,0.0001,0.0002,0.4588
society/2025/jun/02/police-launch-corporate-manslaughter-inquiry-into-nottingham-hospital-trust,https://www.theguardian.com/society/2025/jun/02/police-launch-corporate-manslaughter-inquiry-into-nottingham-hospital-trust,Police launch corporate manslaughter inquiry into Nottingham hospital trust,Society,no,826,13,0.4443,0.0001,0.3691,0.0001,0.1232,0.0001,0.0001,0.0002,0.0001,0.0001,0.0622,0.0001,0.0001,0.0001,0.4443,0.0001
society/article/2024/sep/06/estonia-prisons-uk-criminals,https://www.theguardian.com/society/article/2024/sep/06/estonia-prisons-uk-criminals,Ministers dismiss claim UK government may rent prison space in Estonia,Society,no,539,13,0.5799,0.0001,0.08,0.0001,0.0003,0.0001,0.0001,0.2706,0.0001,0.0002,0.0002,0.0678,0.0002,0.0001,0.5799,0.0001
australia-news/2024/nov/27/journalists-wont-be-criminalised-for-holding-some-australian-government-secrets-after-law-reforms,https://www.theguardian.com/australia-news/2024/nov/27/journalists-wont-be-criminalised-for-holding-some-australian-government-secrets-after-law-reforms,Journalists won’t be criminalised for holding some Australian government secrets after law reforms,Australia news,no,628,13,0.549,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.4493,0.0002,0.0001,0.0001,0.0001,0.549,0.0001
society/2025/feb/11/plan-to-scrap-high-court-signoff-for-assisted-dying-wrong-direction-say-mps,https://www.theguardian.com/society/2025/feb/11/plan-to-scrap-high-court-signoff-for-assisted-dying-wrong-direction-say-mps,"Plan to scrap high court signoff for assisted dying sends bill in ‘wrong direction’, say MPs",Society,no,795,13,0.8087,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.1898,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.8087,0.0001
uk-news/2025/aug/10/farmers-fight-to-save-estate-at-heart-of-powys-welsh-speaking-community,https://www.theguardian.com/uk-news/2025/aug/10/farmers-fight-to-save-estate-at-heart-of-powys-welsh-speaking-community,Farmers fight to save estate at heart of Powys Welsh-speaking community,UK news,no,658,10,0.3894,0.206,0.0001,0.0001,0.0003,0.0001,0.0001,0.0003,0.0773,0.0002,0.0002,0.3894,0.3256,0.0001,0.0002,0.0001
politics/2025/jul/05/no-10-regrets-cabinet-secretary-chris-wormald,https://www.theguardian.com/politics/2025/jul/05/no-10-regrets-cabinet-secretary-chris-wormald,"No 10 regrets choice of ‘insipid’ new cabinet secretary, sources say",Politics,no,626,6,0.4544,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.4544,0.0001,0.0931,0.0002,0.0001,0.0001,0.0001,0.0002,0.4508
australia-news/2025/feb/18/nacc-to-investigate-six-referrals-made-by-robodebt-royal-commission-ntwnfb,https://www.theguardian.com/australia-news/2025/feb/18/nacc-to-investigate-six-referrals-made-by-robodebt-royal-commission-ntwnfb,Nacc to investigate six referrals made by robodebt royal commission,Australia news,no,600,8,0.8164,0.0001,0.0001,0.1816,0.0003,0.0001,0.0001,0.0003,0.0001,0.8164,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001
australia-news/2025/feb/20/massa-family-toddler-death-northern-beaches-hospital-ntwnfb,https://www.theguardian.com/australia-news/2025/feb/20/massa-family-toddler-death-northern-beaches-hospital-ntwnfb,Sydney parents accuse Northern Beaches hospital of failures after their two-year-old waited three hours and later died,Australia news,no,539,9,0.2721,0.0001,0.0001,0.0001,0.2166,0.0001,0.0001,0.0003,0.182,0.1041,0.2721,0.0001,0.0002,0.0001,0.2238,0.0001
world/2025/jul/20/pope-condemns-barbarity-of-israel-war-gaza,https://www.theguardian.com/world/2025/jul/20/pope-condemns-barbarity-of-israel-war-gaza,Pope condemns Gaza war’s ‘barbarity’ as 93 reported killed by Israeli fire while waiting for food,World news,no,977,7,0.6925,0.0001,0.0001,0.041,0.0002,0.0001,0.2654,0.0002,0.6925,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
australia-news/2024/nov/27/albanese-government-announces-review-into-post-2030-renewables-strategy,https://www.theguardian.com/australia-news/2024/nov/27/albanese-government-announces-review-into-post-2030-renewables-strategy,Albanese government announces review into post-2030 renewables strategy,Australia news,no,664,11,0.8705,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0874,0.0001,0.0407,0.8705,0.0001,0.0002,0.0001
uk-news/2024/apr/03/levelling-up-what-has-the-government-spent-and-where,https://www.theguardian.com/uk-news/2024/apr/03/levelling-up-what-has-the-government-spent-and-where,Levelling up: what has the government spent – and where?,UK news,no,857,11,0.5994,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.3995,0.0001,0.0001,0.0001,0.0001,0.5994,0.0001,0.0001,0.0001
australia-news/2025/apr/12/boonji-astronaut-statue-controversy-perth-ntwnfb,https://www.theguardian.com/australia-news/2025/apr/12/boonji-astronaut-statue-controversy-perth-ntwnfb,‘Space junk’: huge astronaut statue coming to Perth park is one giant leap too far for many,Australia news,no,1310,2,0.5744,0.0955,0.0161,0.5744,0.0001,0.0001,0.0001,0.0001,0.1214,0.0001,0.0001,0.0843,0.1076,0.0,0.0001,0.0001
education/2025/mar/24/scottish-voters-split-over-free-tuition-as-university-financial-crisis-deepens,https://www.theguardian.com/education/2025/mar/24/scottish-voters-split-over-free-tuition-as-university-financial-crisis-deepens,Scottish voters split over free tuition as university financial crisis deepens,Education,no,706,6,0.6645,0.0001,0.0001,0.0001,0.3342,0.0001,0.0001,0.6645,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
uk-news/2025/jul/15/afghan-resettlement-scheme-secret-superinjunction-explainer,https://www.theguardian.com/uk-news/2025/jul/15/afghan-resettlement-scheme-secret-superinjunction-explainer,What we know about the secret Afghan relocation scheme,UK news,no,1147,5,0.4207,0.0001,0.0001,0.0001,0.0002,0.0001,0.4207,0.03,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.3635,0.1848
australia-news/article/2024/jul/16/sydney-harbour-bridge-tunnel-toll-prices-west-report,https://www.theguardian.com/australia-news/article/2024/jul/16/sydney-harbour-bridge-tunnel-toll-prices-west-report,"Tolls should be higher on harbour bridge and tunnel to help cut prices in western Sydney, report says",Australia news,no,1168,0,0.3581,0.3581,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.2672,0.0001,0.3339,0.0399,0.0001,0.0001,0.0001
media/2025/feb/27/bbc-creative-chief-charlotte-moore-to-leave-for-sony-job,https://www.theguardian.com/media/2025/feb/27/bbc-creative-chief-charlotte-moore-to-leave-for-sony-job,BBC apologises for ‘significant and damaging’ mistakes in Gaza film,Media,no,1017,2,0.3823,0.0001,0.0001,0.3823,0.0002,0.0001,0.0001,0.0002,0.3327,0.1878,0.0001,0.0001,0.0001,0.0427,0.0537,0.0001
us-news/2024/sep/16/oregon-doctor-sexual-abuse,https://www.theguardian.com/us-news/2024/sep/16/oregon-doctor-sexual-abuse,Women say they were failed by sexual abuse investigation of Oregon doctor,US news,no,694,13,0.5505,0.0001,0.0112,0.1156,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.1697,0.0001,0.0001,0.0001,0.5505,0.1515
world/2024/nov/14/first-edition-nhs-league-tables-wes-streeting,https://www.theguardian.com/world/2024/nov/14/first-edition-nhs-league-tables-wes-streeting,Thursday briefing: Can Labour’s plan for league tables cure the ailing NHS?,World news,no,1993,6,0.5366,0.0,0.0642,0.0491,0.1981,0.0,0.0818,0.5366,0.0,0.0,0.0416,0.0,0.0,0.0,0.0283,0.0
society/2025/feb/27/ban-pornography-depicting-strangulation-review-urges-ministers,https://www.theguardian.com/society/2025/feb/27/ban-pornography-depicting-strangulation-review-urges-ministers,"Ban pornography depicting strangulation, review urges UK ministers",Society,no,516,13,0.8098,0.1522,0.0001,0.0002,0.0003,0.0001,0.0069,0.0003,0.0001,0.0002,0.0002,0.0001,0.0002,0.0291,0.8098,0.0001
australia-news/article/2024/aug/08/victoria-premier-jacinta-allan-hospital-merge-rejection,https://www.theguardian.com/australia-news/article/2024/aug/08/victoria-premier-jacinta-allan-hospital-merge-rejection,Victorian government rejects expert advice to forcibly merge hospital services,Australia news,yes,786,8,0.4885,0.0001,0.0001,0.0001,0.2404,0.0001,0.0001,0.1967,0.0001,0.4885,0.0733,0.0001,0.0001,0.0001,0.0001,0.0001
society/2025/aug/09/foreign-criminals-tried-uk-deported-immediately-new-plans,https://www.theguardian.com/society/2025/aug/09/foreign-criminals-tried-uk-deported-immediately-new-plans,Foreign criminals convicted in UK to be deported immediately under new plans,Society,no,514,13,0.7056,0.0002,0.0555,0.0002,0.0003,0.0001,0.0592,0.1779,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,0.7056,0.0001
society/2025/may/01/assisted-dying-impact-assessment-save-money-parts-nhs,https://www.theguardian.com/society/2025/may/01/assisted-dying-impact-assessment-save-money-parts-nhs,Assisted dying impact assessment to put price on enacting change in England and Wales,Society,no,773,13,0.7016,0.0001,0.0001,0.0001,0.0277,0.0001,0.0001,0.2694,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.7016,0.0001
us-news/2025/jun/13/eight-new-cdc-vaccine-advisers-robert-f-kennedy,https://www.theguardian.com/us-news/2025/jun/13/eight-new-cdc-vaccine-advisers-robert-f-kennedy,Who are the eight new vaccine advisers appointed by Robert F Kennedy?,US news,no,1323,12,0.6248,0.0001,0.1255,0.0817,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.146,0.0,0.0214,0.6248,0.0001,0.0
australia-news/2024/nov/22/nsw-anonymous-gambling-laws-pokies-poker-machines-2028-leaked-report-ntwnfb,https://www.theguardian.com/australia-news/2024/nov/22/nsw-anonymous-gambling-laws-pokies-poker-machines-2028-leaked-report-ntwnfb,"Anonymous gambling should be allowed in NSW until 2028, leaked report from government panel says",Australia news,no,636,14,0.5331,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.4653,0.0001,0.0001,0.0001,0.0001,0.0002,0.5331
politics/2025/jul/13/darren-jones-labour-treasury-chief-secretary-child-poverty-plan,https://www.theguardian.com/politics/2025/jul/13/darren-jones-labour-treasury-chief-secretary-child-poverty-plan,‘It’s very personal to me’: Darren Jones on his £500m plan to fight child poverty,Politics,no,1146,6,0.6522,0.0001,0.0001,0.0001,0.1185,0.0001,0.0001,0.6522,0.0001,0.0001,0.0001,0.0989,0.0765,0.0001,0.0001,0.0532
